"Type","Name","SourcePath","DestinationPath","SourceExists","DestinationExists","SourceFileCount","DestinationFileCount","SourceSize","DestinationSize","Notes"
"Page folder","Brains","D:\github\ron-english-sketches-and-drawings\Sketches\brains","D:\github\ron-english-sketches-mythic-dark\Sketches\brains","True","True","26","26","234.20 KB","234.21 KB","Backup folders may be excluded from destination"
"Page folder","Kaijus","D:\github\ron-english-sketches-and-drawings\Sketches\kaijus","D:\github\ron-english-sketches-mythic-dark\Sketches\kaijus","True","True","71","71","680.27 KB","680.27 KB","Backup folders may be excluded from destination"
"Page folder","Kursed","D:\github\ron-english-sketches-and-drawings\Sketches\kursed","D:\github\ron-english-sketches-mythic-dark\Sketches\kursed","True","True","21","21","177.82 KB","177.82 KB","Backup folders may be excluded from destination"
"Page folder","Light Cult","D:\github\ron-english-sketches-and-drawings\Sketches\light-cult","D:\github\ron-english-sketches-mythic-dark\Sketches\light-cult","True","True","222","222","1.86 MB","1.86 MB","Backup folders may be excluded from destination"
"Page folder","Mythical Beings","D:\github\ron-english-sketches-and-drawings\Sketches\mythical-beings","D:\github\ron-english-sketches-mythic-dark\Sketches\mythical-beings","True","True","88","88","731.00 KB","729.37 KB","Backup folders may be excluded from destination"
"Page folder","Skeletons","D:\github\ron-english-sketches-and-drawings\Sketches\skeletons","D:\github\ron-english-sketches-mythic-dark\Sketches\skeletons","True","True","74","74","655.58 KB","655.58 KB","Backup folders may be excluded from destination"
"Page folder","Tots","D:\github\ron-english-sketches-and-drawings\Sketches\tots","D:\github\ron-english-sketches-mythic-dark\Sketches\tots","True","True","9","9","74.95 KB","74.97 KB","Backup folders may be excluded from destination"
"Page folder","Yin Yangs","D:\github\ron-english-sketches-and-drawings\Sketches\yin-yangs","D:\github\ron-english-sketches-mythic-dark\Sketches\yin-yangs","True","True","11","11","102.63 KB","102.64 KB","Backup folders may be excluded from destination"
"Image folder","brains","D:\github\ron-english-sketches-and-drawings\images\Sketches\brains","D:\github\ron-english-sketches-mythic-dark\images\Sketches\brains","True","True","98","98","18.68 MB","18.68 MB","Required"
"Image folder","Kaijus","D:\github\ron-english-sketches-and-drawings\images\Sketches\Kaijus","D:\github\ron-english-sketches-mythic-dark\images\Sketches\Kaijus","True","True","304","304","51.49 MB","51.49 MB","Required"
"Image folder","Kursed","D:\github\ron-english-sketches-and-drawings\images\Sketches\Kursed","D:\github\ron-english-sketches-mythic-dark\images\Sketches\Kursed","True","True","120","120","26.63 MB","26.63 MB","Required"
"Image folder","Light Cult","D:\github\ron-english-sketches-and-drawings\images\Sketches\Light Cult","D:\github\ron-english-sketches-mythic-dark\images\Sketches\Light Cult","True","True","269","269","31.23 MB","31.23 MB","Required"
"Image folder","Mythical Beings","D:\github\ron-english-sketches-and-drawings\images\Sketches\Mythical Beings","D:\github\ron-english-sketches-mythic-dark\images\Sketches\Mythical Beings","True","True","383","383","61.99 MB","61.99 MB","Required"
"Image folder","Skeletons","D:\github\ron-english-sketches-and-drawings\images\Sketches\Skeletons","D:\github\ron-english-sketches-mythic-dark\images\Sketches\Skeletons","True","True","297","297","56.28 MB","56.28 MB","Required"
"Image folder","Tots","D:\github\ron-english-sketches-and-drawings\images\Sketches\Tots","D:\github\ron-english-sketches-mythic-dark\images\Sketches\Tots","True","True","50","50","8.56 MB","8.56 MB","Required"
"Image folder","Yin Yangs","D:\github\ron-english-sketches-and-drawings\images\Sketches\Yin Yangs","D:\github\ron-english-sketches-mythic-dark\images\Sketches\Yin Yangs","True","True","50","50","6.84 MB","6.84 MB","Required"
"Generated file","Root landing page","","D:\github\ron-english-sketches-mythic-dark\index.html","","True","","","","","Repository home page"
"Generated file","Sketches landing page","","D:\github\ron-english-sketches-mythic-dark\Sketches\index.html","","True","","","","","Mythic / Dark landing page"
"Audit","Navigation updates","","","","","","","","","HTML scanned: 523; HTML changed: 55; anchors updated: 103; anchors removed: 0"
"Audit","Possible missing image references","","D:\github\ron-english-sketches-mythic-dark\_copy-audit\copy-mythic-dark-to-new-repo-20260511-144932-possible-missing-image-references.csv","","True","","24","","","Should ideally be 0 after auto-copy."
"Audit","Auto-copied missing images","","D:\github\ron-english-sketches-mythic-dark\_copy-audit\copy-mythic-dark-to-new-repo-20260511-144932-auto-copied-missing-images.csv","","True","","0","","","Root-level hero or other missing image files copied from source."
"Audit","Possible missing internal page links","","D:\github\ron-english-sketches-mythic-dark\_copy-audit\copy-mythic-dark-to-new-repo-20260511-144932-possible-missing-internal-page-links.csv","","True","","41","","","May include intentionally removed links to other split repos."
